claim_id,section,claim_text,source_key,source_type,verification_status,accessed_on,direct_or_inferred,notes
C01,Introduction,"LLMs are now being evaluated for security-relevant programming and testing tasks rather than only for generic code generation.",pearce2022copilot,peer_reviewed,verified,2026-04-03,direct,"Pearce et al. evaluate security of AI-generated code."
C02,Related Work,"Copilot-generated code was vulnerable in roughly 40 percent of the scenarios studied by Pearce et al.",pearce2022copilot,peer_reviewed,verified,2026-04-03,direct,"Numeric claim appears in the paper abstract and results."
C03,Related Work,"PentestGPT improved task completion relative to a GPT-3.5 baseline in the USENIX evaluation.",deng2024pentestgpt,peer_reviewed,verified,2026-04-03,direct,"Use bounded phrasing in manuscript."
C04,Findings,"Mozilla's 2026 Firefox 148 advisory credits researchers using Claude from Anthropic for multiple reported vulnerabilities.",mozilla2026mfsa13,official_advisory,verified,2026-04-03,direct,"Do not claim more than advisory supports."
C05,Findings,"Mozilla's Firefox ESR 140.8 advisory also credits researchers using Claude from Anthropic for high-severity issues.",mozilla2026mfsa15,official_advisory,verified,2026-04-03,direct,"Use as corroborating case evidence."
C06,Findings,"The Firefox advisories support the narrower claim that LLM-assisted discovery has entered real vulnerability-disclosure workflows.",mozilla2026mfsa13,official_advisory,verified,2026-04-03,inferred,"Synthesis from advisories, not a direct Mozilla claim."
C07,Related Work,"Major vendors are deploying agentic AI features specifically for security operations workflows.",microsoft2025securitycopilot,vendor_official,verified,2026-04-03,direct,"Use for operational context only."
C08,Analytical Framework,"STRIDE remains a useful lens for reasoning about software threats such as spoofing, tampering, information disclosure, denial of service, and privilege escalation.",howard2003stride,book,verified,2026-04-03,direct,"Foundational framework citation."
C09,Analytical Framework,"MITRE ATT&CK is a knowledge base and taxonomy of adversary behavior used to organize operational techniques.",mitre_attack,official_framework,verified,2026-04-03,direct,"Use for SOC mapping."
C10,Analytical Framework,"NIST AI RMF frames AI governance around characteristics including validity, reliability, safety, security, resilience, accountability, and transparency.",nist2023airmf,official_standard,verified,2026-04-03,direct,"Use in governance interpretation."
C11,Discussion,"The EU AI Act requires human oversight measures for high-risk AI systems.",eu2024aiact,official_regulation,verified,2026-04-03,direct,"Reference human oversight in bounded way."
C12,Findings,"Current evidence does not justify fully autonomous security decision-making without validation and escalation controls.",nist2023airmf,official_standard,verified,2026-04-03,inferred,"Governance interpretation based on NIST risk framing."
C13,Related Work,"The broader LLM security literature emphasizes both the usefulness and the attack surface of these systems.",yao2023llm_security,preprint_survey,verified,2026-04-03,direct,"Use as general survey context."
C14,Discussion,"The evidence base for SOC impact is weaker than the evidence base for code security or penetration-testing tasks.",microsoft2025securitycopilot,vendor_official,verified,2026-04-03,inferred,"Inference from source mix and absence of stronger public evaluations."
C15,Methodology,"This paper adopts a source hierarchy that prioritizes official advisories, standards, and peer-reviewed research over marketing claims.",nist2023airmf,official_standard,verified,2026-04-03,inferred,"Methodological choice documented in manuscript."
C16,Findings,"Recent security literature treats vulnerability management as a bounded task where LLM assistance can be evaluated without implying full lifecycle autonomy.",liu2024vulnmgmt,peer_reviewed,verified,2026-04-03,inferred,"Use bounded phrasing tied to the paper title and positioning."
C17,Related Work,"Recent incident-response research evaluates LLMs on collaborative summarization tasks using real incidents and practicing security analysts.",kramer2025incidentresponse,peer_reviewed,verified,2026-04-03,direct,"Use to strengthen the SOC evidence base beyond vendor material."
C18,Findings,"LLMs in incident response currently perform better as collaborative analyst aids than as autonomous security reasoners.",kramer2025incidentresponse,peer_reviewed,verified,2026-04-03,inferred,"Bound this to incident summarization and collaboration."
C19,Discussion,"Public evidence for analyst-assist workflows is stronger than public evidence for autonomous security decisions.",kramer2025incidentresponse,peer_reviewed,verified,2026-04-03,inferred,"Use in the evidence-map interpretation."
C20,Findings,"High-impact security actions remain governance-heavy because validation, escalation, and auditability requirements rise with operational consequence.",eu2024aiact,official_regulation,verified,2026-04-03,inferred,"Use with NIST AI RMF and incident-response evidence."
